"year","T_prev_May","T_prev_Jun","T_prev_Jul","T_prev_Aug","T_prev_Sep","T_prev_Oct","T_prev_Nov","T_prev_Dec","T_Jan","T_Feb","T_Mar","T_Apr","P_prev_May","P_prev_Jun","P_prev_Jul","P_prev_Aug","P_prev_Sep","P_prev_Oct","P_prev_Nov","P_prev_Dec","P_Jan","P_Feb","P_Mar","P_Apr","S_prev_May","S_prev_Jun","S_prev_Jul","S_prev_Aug","S_prev_Sep","S_prev_Oct","S_prev_Nov","S_prev_Dec","S_Jan","S_Feb","S_Mar","S_Apr"
1975,65.1,71.4,78.9,78.3,70.2,57.3,50.8,43,40.9,40.6,45.2,53.6,4.37,3.4,1.15,5.77,4.39,1.13,1.24,4.43,3.09,1.56,5.33,2.13,0,0,0,0,0,0,0,0.1,6.7,5.8,0.3,0
1976,69.7,76.3,79.2,80.1,68.5,63.1,54.4,40.5,33.8,46.9,51.3,59.9,4.72,2.16,7.16,3.54,12.36,2.39,2.05,4.04,3.56,1.55,2.51,1.17,0,0,0,0,0,0,0,0.4,0.1,0.9,0.8,0
1977,65,77.6,78.4,76.7,70.3,55.4,43,35.5,25.4,38.7,52.6,60.1,3.57,1.21,4.55,2.13,7.23,7.76,0.85,1.99,1.5,0.66,2.17,2.66,0,0,0,0,0,0,0.8,0.6,9.7,0,0,0
1978,69.4,74.2,80.8,78.8,73.9,59,51.7,38,32.4,31.4,44.3,57.7,1.74,3.29,4.06,4.74,0.32,5.35,4.82,4.86,7.11,0.42,4.48,1.38,0,0,0,0,0,0,0.1,0.2,10.3,3.8,8.3,0
1979,65.8,76.7,78.8,81.2,73.5,59.4,52.2,43.1,35.1,28.4,51.5,56,5.13,2.43,4.28,5.85,1.01,1.17,2.31,4,6.65,5.62,2.45,1.88,0,0,0,0,0,0,3.1,0,4,30.6,0,0
1980,67.7,72.4,78.6,78.5,71.6,58.5,54.4,43.7,37.2,36.1,46.2,60.1,3.55,2.99,3.43,5.41,6.65,5.54,2.33,0.85,2.85,1.17,5.04,3.28,0,0,0,0,0,0.3,0,0,8.6,5.1,6.1,0
1981,69.5,74.8,82.3,82.8,77.1,59.9,48.5,39.8,33,43.6,47.6,62,2.65,1.69,3.87,1.11,1.9,2.59,2.56,0.65,0.38,2.82,1.5,2.63,0,0,0,0,0,0,0,0.3,4.2,0,0,0
1982,66.2,78.7,80.2,77,71,58.3,51.3,38.4,28.1,38.3,45.6,54,3.42,2.56,5.7,3.02,1.94,3.64,0.29,2.8,2.27,3.33,2.64,3.19,0,0,0,0,0,0,0,1.7,15.3,5.3,0.2,0
1983,69,72.8,80.2,75.3,70.6,60.1,51.7,45.5,38.1,38.7,48.8,53.2,5.11,5.41,2.98,2.68,1.7,1.75,2.97,1.74,1.69,3.09,4.84,6.88,0,0,0,0,0,0,0,6.6,0,21,0,0
1984,64.9,75,81.2,81,72.6,60.4,50.3,36,32.2,43.8,41.8,54.8,4.62,7.09,1.78,3.11,2.9,4.87,5.09,5.91,1.71,3.44,6.14,3.72,0,0,0,0,0,0,0.3,0,6.5,0,1.8,0
1985,64.8,76.9,76.5,77.8,68.2,65.1,46,45.6,30.7,37.8,47.7,61.6,3.81,2.01,4.09,2.3,2.51,3.18,3.66,1.19,2.11,3.07,1.88,0.03,0,0,0,0,0,0,0,0.3,10,0,0,0
1986,68.1,72.3,79,76.7,71.9,61.1,54.3,36.4,35.3,35.3,47.4,56.2,5.79,2.06,2.91,2.36,6.67,3.85,4.47,0.68,2.38,3.49,0.74,1.98,0,0,0,0,0,0,0,0.7,1.8,12.9,0,0
1987,68,76.6,81,74.6,70.9,61.1,46.5,39.7,34.7,37,47.7,54.8,0.75,1.3,3.79,5.33,0.6,2.01,5.23,4.98,4.9,2.11,1.54,2.28,0,0,0,0,0,0,0,0,20.8,10.3,0,0
1988,67.2,76.4,82.5,78.7,72,54.3,49.9,41.4,31,37.3,47.2,54.4,2.54,3.9,2.59,2.07,5.11,2.53,4.48,2.57,3.14,2.52,2.27,2.01,0,0,0,0,0,0,11.5,0,13.1,0,0.4,0
