"year","T_prev_May","T_prev_Jun","T_prev_Jul","T_prev_Aug","T_prev_Sep","T_prev_Oct","T_prev_Nov","T_prev_Dec","T_Jan","T_Feb","T_Mar","T_Apr","P_prev_May","P_prev_Jun","P_prev_Jul","P_prev_Aug","P_prev_Sep","P_prev_Oct","P_prev_Nov","P_prev_Dec","P_Jan","P_Feb","P_Mar","P_Apr"
2012,74.9,83,91.1,92.5,85.6,74.3,65.5,51.5,46.8,46.8,NA,67.9,16.35,5.31,3.87,2.16,13.54,8.14,2.88,0.24,1.23,4.53,4.87,5.37
2013,76,81.4,90.2,93.9,87.7,75.3,NA,NA,46.2,47.7,60.4,66.9,1.7,9.2,13.25,4.41,3.75,5.25,4.73,3.2,1.62,3.79,2.58,4.22
2014,78,84.4,92.6,95.2,85.3,75.6,61.3,50.9,48.1,48.7,57.3,69.4,1.57,6.84,5.47,3.91,14.24,8.58,1.97,2.33,1.68,2.17,5.81,3.33
2015,79,84.7,90.6,90.3,83.6,74.5,64.4,48.7,47.1,49.8,58.6,69.2,3.07,2.41,3.88,19.19,2.56,4.09,2.26,3.77,4.8,1.73,5.52,6.44
2016,81.8,81.4,89.3,92.4,81.3,75,65,55.6,50.6,52.4,59.8,71.1,5.04,9.76,17.01,9.31,7.71,1.52,6.95,3.98,2.92,3.8,2.81,7.11
2017,80.9,83,91.3,94.4,85.3,75.7,62.3,54.3,48.6,49.3,56.2,69.2,5.82,11.19,3.53,6.35,17.56,4.34,3.27,3.63,2.4,1.58,1.76,5.54
2018,80.6,82.5,92,92.4,83.4,71.3,60.9,49.8,46.3,48.8,62.3,72.6,2.57,8.01,5.69,5.1,3.55,15.65,1.69,1.32,1.68,0.89,6.23,6.35
2019,78.1,83.3,95.6,95,81.6,74.5,64.9,53.7,48.4,52,58.5,67.1,6.59,8.22,14.51,3.55,14.98,2.54,0.88,2.39,0.46,1.81,2.83,4.18
2020,80.4,83.8,87.9,93.5,88.4,75.6,64.1,54.2,52.4,52.4,60.3,65.4,3.35,4.68,9.24,11.95,3.09,8.47,1.01,1.86,2.46,1.79,2.94,4.83
2021,NA,85.3,85.7,97.2,86.2,73.1,65.2,NA,NA,NA,63.4,69.3,NA,NA,20.39,1.89,4.63,6.89,1.64,NA,NA,NA,5.73,8.06
2022,76.6,84.3,91.3,90.4,83.7,76.4,64.8,53,46.8,49.4,59.9,72.5,9.11,4.79,10.45,18.67,7.22,1.67,2.02,3.71,1.65,0.7,3.54,5.03
2023,78.2,84.9,91.3,NA,87,74.1,66.6,51.4,49.1,NA,NA,NA,3.25,4.22,12.15,10.43,7.97,3.43,3.26,1.05,1.6,NA,NA,NA
